product_id,product_name,category,subcategory,unit_cost,unit_price,stock_quantity,supplier_name
8ce2110a-2b77-4a23-9e64-51904ff8f660,Power Supply Model Pro-7,Industrial Robotics,Inspection Drone,13281.00,16601.00,32,Axilon Motion Control
18938b84-8f93-469f-8eb8-53be5a4999d2,Sensor Array Model Elite-8,Saas Tools,Workflow Automation Tool,15925.00,19906.00,14,Trivex Industrial
facffe4d-b28d-4e16-aaac-ab09a77ecd02,Reception Robot Model X-8,Saas Tools,Maintenance Analytics Platform,11254.00,14068.00,9,Mechonics Group
d952e25a-0ee0-4947-83b8-a4ecb7d8757d,Delivery Robot Model X-9,Robotic Components,Control Unit,18801.00,23501.00,23,Robodyne Technologies
7d7845d3-29bd-4e2f-8dff-872e0e98db0f,Reception Robot Model Pro-1,Service Robotics,Cleaning Robot,15448.00,19310.00,15,Kinetiq Solutions
059b45b7-e7b6-4a0c-b2de-4b605e9c9a37,Inspection Drone Model X-9,Industrial Robotics,Hydraulic Systems,10297.00,12871.00,18,Gravatek Industries
86d23099-e536-4fc6-bacf-ec53061a8cd3,Sensor Array Model Max-6,Robotic Components,Servo Motor,16943.00,21179.00,11,Orbital Dynamics Ltd.
8cd6c10c-48d6-43d6-b4df-107c5195f1d2,Assembly Arm Model 2200,Industrial Robotics,Welding Robot,14530.00,18162.00,9,Sentronix Automation
7d2aba39-6854-4695-bad9-ee25eda15ceb,Welding Robot Model Max-4,Service Robotics,Security Robot,10035.00,12544.00,31,Omnidyne Systems
111ea544-a9e0-4603-8b95-71c4786705e3,Cleaning Robot Model X-9,Saas Tools,Remote Diagnostics Suite,15933.00,19916.00,20,Veltrax Robotics
4854eac8-2bcd-4323-a87d-a54970a17434,Power Supply Model Max-3,Robotic Components,Power Supply,14447.00,18059.00,8,Orbital Dynamics Ltd.
97d988d0-3379-4b64-bd76-c4d9e39651d2,Maintenance Analytics Model X-8,Saas Tools,Fleet Management Software,16810.00,21012.00,42,Trivex Industrial
7f0a2f9c-3d8f-4e8d-a6a4-9524c532f6b5,Servo Motor Model X-8,Service Robotics,Delivery Robot,11430.00,14288.00,22,Sentronix Automation
24a5375b-f1f1-492f-969c-7446f881242a,Control Unit Model Max-9,Robotic Components,Sensor Array,11938.00,14922.00,41,US Robotics
b60ba264-97df-40fb-9685-20c14018d29f,Remote Diagnostics Suite Model 2000-3,Service Robotics,Reception Robot,10238.00,12798.00,39,Axilon Motion Control
ae125df8-97d0-4391-a015-9c43ca6fdeb7,Assembly Arm Model Max-9,Industrial Robotics,Assembly Arm,15502.00,19378.00,25,Mechonics Group
42d7313c-7e7f-4b76-96a5-756801afea1a,Power Supply Model X-2,Robotic Components,Control Unit,16584.00,20730.00,14,Robodyne Technologies
2e3373e5-36a7-41fc-8f51-dc0ad241424a,Reception Robot Model Max-5,Robotic Components,Power Supply,12187.00,15234.00,10,Gravatek Industries
e858e874-680a-4bf5-b34c-fdcdb5732b67,Inspection Drone Model Elite-6,Industrial Robotics,Inspection Drone,11108.00,13885.00,24,Omnidyne Systems
9af4ada0-bf63-42e6-9bc5-f145d2c0bcc2,Welding Robot Model Pro-5,Service Robotics,Delivery Robot,16680.00,20850.00,20,Kinetiq Solutions
54e0e4f1-4b4f-4376-a4fa-2e1e3231df4d,Power Supply Model 2000-3,Service Robotics,Security Robot,12811.00,16014.00,15,Gravatek Industries
1e517a52-aa45-4a44-8944-6292295e1b05,Welding Robot Model Series-9,Saas Tools,Workflow Automation Tool,17959.00,22449.00,46,Sentronix Automation
dc78b20a-fd8b-498a-8850-a181e2f4d231,Fleet Management Software Model X-3,Saas Tools,Remote Diagnostics Suite,12161.00,15201.00,17,Veltrax Robotics
0d3621c7-2d36-4e17-aaa2-74426be613a1,Workflow Automation Tool Model Max-2,Robotic Components,Servo Motor,17763.00,22204.00,49,Kinetiq Solutions
87ff8689-32a0-4bfa-b277-6a55d08b4781,Fleet Management Software Model Max-7,Industrial Robotics,Welding Robot,14128.00,17660.00,49,Cyberdyne Systems
ae311b1c-2482-4153-8938-03f0cbe64228,Cleaning Robot Model Pro-4,Service Robotics,Reception Robot,18679.00,23349.00,34,Mechonics Group
3cd6004a-f681-4e9a-8c9e-bfce372c2013,Security Robot Model X-3,Saas Tools,Maintenance Analytics Platform,14142.00,17678.00,47,Trivex Industrial
27e5169d-ff40-4081-bb07-bd8010ec77bc,Sensor Array Model Pro-2,Robotic Components,Sensor Array,10940.00,13675.00,22,Omnidyne Systems
341b9986-47c6-40e0-80fe-c0f17e3ba659,Maintenance Analytics Model Series-5,Industrial Robotics,Assembly Arm,10667.00,13334.00,29,Orbital Dynamics Ltd.
fc946b85-4c0b-4fe4-b37b-e62872546bf1,Sensor Array Model X-9,Service Robotics,Cleaning Robot,10787.00,13484.00,16,Robodyne Technologies
ae038e5a-d0c7-4e89-ad32-fe48644d6837,Control Unit Model X-3,Saas Tools,Fleet Management Software,16906.00,21132.00,14,Orbital Dynamics Ltd.
37a70c1d-83e5-4820-b9aa-0e13f9c7f78f,Remote Diagnostics Suite Model Elite-1,Industrial Robotics,Hydraulic Systems,18810.00,23512.00,25,US Robotics
7a7f5be2-ca4d-4479-a6ff-4881d55d2739,Servo Motor Model 2000-1,Robotic Components,Power Supply,15270.00,19088.00,12,Omnidyne Systems
15de3b29-8b43-4d98-8359-bc2a29486ae3,Welding Robot Model Elite-3,Service Robotics,Delivery Robot,10979.00,13724.00,42,Robodyne Technologies
96a864d4-b83d-4e12-a000-1d2dcd74439d,Control Unit Model Pro-6,Service Robotics,Cleaning Robot,14238.00,17798.00,39,Gravatek Industries
2fdc41df-8477-48d1-9cc4-b895a075f9d3,Fleet Management Software Model Elite-6,Robotic Components,Sensor Array,15123.00,18904.00,12,Sentronix Automation
e526b5e1-020f-4e37-a27f-14902d361185,Servo Motor Model Max-6,Saas Tools,Remote Diagnostics Suite,14214.00,17768.00,14,Kinetiq Solutions
696c1e48-f414-4118-b5a1-ef2ade17afcb,Control Unit Model Elite-5,Industrial Robotics,Hydraulic Systems,17129.00,21411.00,31,Trivex Industrial
fcd75b85-90de-4636-8198-e0835e1a1ae2,Delivery Robot Model Max-6,Saas Tools,Maintenance Analytics Platform,17757.00,22196.00,43,Veltrax Robotics
14c62b95-09ef-447d-83c9-64ef6936fffc,Assembly Arm Model Pro-3,Industrial Robotics,Inspection Drone,10767.00,13459.00,30,US Robotics
e07c7fe0-32fc-4cbe-be3b-da082f00afb0,Assembly Arm Model X-6,Saas Tools,Fleet Management Software,16388.00,20485.00,7,Omnidyne Systems
