campaign_id,channel,objective,launch_date,impressions,conversions,customer_id
507ea8ac-9584-4c68-8a7e-05f119476b07,Webinars / Technical Demos,Seasonal Promotion,2022-03-21,8023,6565,cf2c84e4-628a-40d3-b4e3-4abbe34f256b
4b82941f-f0e9-49ed-8bef-069db3a9149b,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Market Expansion,2024-07-28,2069,1809,f2149a1b-db47-42ad-8147-8688f1ff4330
95132475-e80c-4fd0-b025-ab24bd7e23e2,Technical Whitepapers / Case Studies,Upsell/Cross-sell,2024-07-17,5802,5172,fa0b66b9-452b-4292-8d98-b415a2137feb
e5ef5ca1-3cef-4b97-9491-b4053adeee64,Channel Partner Marketing,Promote New Product,2025-04-05,6621,5900,cc0cb024-46ab-49ee-aa52-bcc94e26ca1f
a7b333b4-17ce-4c09-ac02-f14bfd224b79,Email Outreach (Targeted to Procurement/Engineering),Website Traffic,2024-04-28,2045,1779,a592d7a0-e7f0-4fd6-bfa3-eb7e4785d3e3
5d61580a-e94c-4dc0-8fc0-8d61f4755c61,Industry Trade Shows & Conferences,Product Launch,2024-10-01,4144,3712,ee5fb2bb-6bb6-43ae-8c5d-9bccfad8a8f2
0d61e8cc-732f-4b88-a051-a8b35d2d1aa0,Account-Based Marketing (ABM),Increase Sales,2024-02-25,19094,16455,18bc3961-b9f5-4279-9945-2d03c02e1621
9c3244de-c3d5-4fc8-bb49-a4acff4308c3,Direct Sales Enablement (custom decks/videos),Lead Generation,2022-08-27,5817,4818,7056e922-2372-4de2-be2f-d9a38bb29288
89e39343-9b1b-469a-a991-0434551b31e7,LinkedIn Sponsored Content / InMail,Customer Retention,2023-05-03,14746,13247,2f7b56ef-c896-4ecb-9e5f-60aef8794fae
4a06b14e-c0e7-470c-aea7-f7c5bcc20ec7,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Event Promotion,2022-10-24,6392,5442,ffb11316-afd1-47a8-a943-1a020c05111f
35d2cfce-c258-4362-a4bb-010cfe6884c5,Webinars / Technical Demos,Brand Awareness,2024-06-25,11585,10262,d4dab4be-9f52-43ef-998d-4f1ffac340bb
5e3cbf16-edc7-4bf6-88e5-b943c74aa7e5,"Engineering Forums / Online Communities (e.g., StackExchange, Re",Re-engagement,2023-08-18,17165,15027,ad8a0db7-c202-4f7a-b76e-3f4257af35cd
fa9af8b3-b81e-4a9c-a3f8-789137f642b0,Email Outreach (Targeted to Procurement/Engineering),Website Traffic,2024-08-11,1649,1409,96320218-1954-432b-a768-936742892cb3
ac8eddaf-cdc4-46fe-8bce-24413666a340,Direct Sales Enablement (custom decks/videos),Lead Generation,2022-07-14,15348,13688,4beb9162-f861-45cd-9ffa-4226a687d056
2d7f86f5-b838-4755-b39d-e9c2ac7ef1cc,LinkedIn Sponsored Content / InMail,Customer Retention,2023-02-02,17529,14159,91594dda-f3c5-4834-97ab-3b605b408418
a3ec4931-ec1f-49ff-9196-439ec213e0a9,Technical Whitepapers / Case Studies,Promote New Product,2022-11-12,2199,1930,aaac91cf-f34e-4d6c-b3e8-3476d2d1de86
72e8bbf8-9831-4b99-956f-d26434a9fa74,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Re-engagement,2022-05-23,1640,1330,efdfbc54-ff9e-462c-a8ce-27b03704d5cc
2f6a9040-e2a3-41d7-897d-4fecb0fd3ff3,Account-Based Marketing (ABM),Brand Awareness,2023-08-26,4292,3540,88a4fa52-c720-4354-9b7d-4b5217467818
6b50db80-d60d-447d-8783-f7d5c84e4041,Channel Partner Marketing,Upsell/Cross-sell,2024-12-25,13675,11019,38004a05-3eba-496a-a3e2-88d7870c6745
b71e68f8-7a59-43ae-ab95-4e19a512ff81,Industry Trade Shows & Conferences,Increase Sales,2022-10-04,2675,2176,20861e6b-1d34-4f54-9678-a876dd541e1c
578e672f-a01b-49d3-bb82-572530afe4ff,"Retargeting via Programmatic Ads (LinkedIn, Industrial sites)",Seasonal Promotion,2023-08-27,11172,9579,62542e0e-4407-4f4a-b8dc-ae21c61b982c
d856ca23-a6e7-4ae6-b0b7-479433361273,Account-Based Marketing (ABM),Market Expansion,2022-11-11,19065,16964,f56a5021-4e8a-4c8d-b59c-5badec285a5e
98abfbd0-3f9e-46e6-b552-f68a161ec23b,LinkedIn Sponsored Content / InMail,Event Promotion,2023-02-04,14650,12404,2a791b17-67fe-4f80-8628-e2f2b7fd16d2
bdaa6a3d-3e59-4b39-b7a0-9434bbeaf10b,Webinars / Technical Demos,Product Launch,2022-06-29,15896,13933,8eeb9aa3-396a-4082-85c4-3234ca10a1d5
f6d9bb74-a8cf-42f2-8ca2-f9abcaec8dc6,Technical Whitepapers / Case Studies,Event Promotion,2022-07-30,16180,13512,4640c3a3-d434-4385-9ff9-d3e0b539f99d
3f26532d-ece9-4a70-b3bd-d83778ab41e5,Direct Sales Enablement (custom decks/videos),Lead Generation,2024-10-11,5802,4723,093f6e59-b359-4080-9aca-0a8723895905
d5910bfa-ebcb-4211-a794-d181386df55d,Channel Partner Marketing,Seasonal Promotion,2022-12-04,1410,1260,170da4d2-5e68-4941-9daf-bea734ce0e26
635f22a6-6595-4972-8030-b1e21cc4f03e,Industry Trade Shows & Conferences,Upsell/Cross-sell,2022-06-23,15662,12950,f4f62425-c757-4c94-a1dc-0a334a5ed57d
